item_seq,efficacy,usage_method,warning,caution,interaction,side_effect,storage
199100317,"이 약은 피부, 창상면, 점막의 세정, 습포 및 함수(양치질), 분무흡입제로서 점막세정, 객담배출 촉진, 의료용구의 세정에 사용합니다.",적당량을 사용합니다.,,이 약을 주사용으로 사용하지 마십시오.,,,실온에서 보관하십시오.
199100655,"이 약은 건조한 눈, 하드콘택트렌즈 착용시에 사용합니다.",1회 1~2방울 1일 4~5회 점안합니다.증상에 따라 적절히 증감합니다.,,치료 중에는 소프트콘택트렌즈의 착용을 피하십시오.점안용으로만 사용하십시오.오염을 방지하기 위해 될 수 있는 한 공동으로 사용하지 마십시오.,,매우 드물게 과민반응이 나타날 수 있습니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
196200034,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후의 체력 저하 시 비타민 B1, B2, B6, C의 보급에 사용합니다.","만 8세 이상 및 성인은 1회 1~3정씩, 1일 1회 복용합니다.",,"이 약에 과민증 환자, 만 3개월 이하의 젖먹이, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 고옥살산뇨증(요중에 과량의 수산염이 배설되는 상태), 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 미숙아, 유아, 통풍, 신장결석, 폴산이 부족한 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.요를 황색으로 변하게 하여 임상검사치에 영향을 줄 수 있습니다.",레보도파와 함께 복용하지 마십시오.,"구역, 구토, 설사, 묽은 변 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
196400046,"이 약은 위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림에 사용합니다.","만 15세 이상 및 성인은 1회 2정, 만 8세 이상 15세 미만은 1회 1정, 1일 3회 식간(식사때와 식사때 사이) 및 취침시 복용합니다.복용간격은 4시간 이상으로 합니다.",,"투석요법을 받고 있는 환자, 만 7세 이하의 어린이는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 신장장애 환자, 나트륨 제한 식이를 하는 사람은 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.",테트라사이클린계 항생제와 함께 복용하지 마십시오.,"변비, 설사 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
196400089,"이 약은 식욕감퇴(식욕부진), 위부팽만감, 소화불량, 과식, 체함, 구역, 구토에 사용합니다.",대환은 1회 1∼2환을 1일 3회 식후에 소량의 물과 함께 복용하십시오.소환은 1회 8∼16환을 1일 3회 식후에 소량의 물과 함께 복용하십시오.,,"만 7세 이하의 소아는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 혈압이 높은 환자, 고령자, 심장 또는 신장(콩팥)에 장애가 있는 환자, 부종(부기)이 있는 사람은 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.","칼륨함유제제, 감초함유제제, 글리시리진산 혹은 그 염류 함유제제, 루프계 이뇨제(푸로세미드, 에타크린산) 또는 티아지드계 이뇨제(트리클로르메티아지드)를 복용하는 사람은 의사 또는 약사와 상의하십시오.","요량이 감소하거나 얼굴과 손발이 붓고, 눈꺼풀이 무거워지고, 손이 굳어지고, 혈압이 높아지거나 두통, 근병증(무력감, 사지경련, 마비 등)이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 건냉암소에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
196500051,이 약은 졸음에 사용합니다.,"성인은 1회 2~6정(100~300 mg)씩, 1일 1~3회 복용합니다.연령, 증상에 따라 적절히 증감할 수 있습니다.",,"갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 고령자, 위궤양 환자 또는 경험자, 심질환, 녹내장 환자는 의사 또는 약사와 상의하십시오.",,만성 녹내장을 악화시킬 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.,실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
199303012,이 약은 비점막 건조 증상의 완화에 사용합니다.,"성인은 증상에 따라 필요시 각 비강에 2방울씩 점적합니다.

연령, 증상에 따라 적절히 증감합니다.",,"이 약 또는 벤잘코늄염화물에 과민증(발진, 발적, 종창, 자극감 등) 환자는 이 약을 사용하지 마십시오.

이 약을 사용하기 전에 점비약에 과민증 환자는 의사 또는 약사와 상의하십시오.

이 약은 점비용으로만 사용하십시오.",,,"실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오."
199400693,"이 약은 급성기침, 경련성기침, 흡연성기침, 기관지경 검사 전·후의 기침 억제에 사용합니다.","성인은 1회 15 mL (22.5 mg), 1일 4회, 12~14세는 1회 15 mL (22.5 mg), 6~11세는 1회 10 mL (15 mg), 3~5세는 1회 5 mL (7.5 mg), 1일 3회 복용합니다.",,"이 약에 과민증 환자, 임부는 이 약을 복용하지 마십시오.",,"드물게 발열, 구역, 구토, 설사 또는 졸음, 발진 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기를 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
199502669,"이 약은 약물치료, 구강 또는 인후 부근의 방사선 치료, 타액선 감염, 구강 또는 인후감염, 치아 또는 구강수술, 발열, 정서적요인으로 인한 타액분비감소에 사용합니다.",구강내 습기를 유지하는데 필요한 만큼 또는 의사의 지시에 따라 구강이나 인후에 1~2회 동안 직접 분무합니다.,,이 약에 과민증 환자는 이 약을 사용하지 마십시오.눈에 분무하지 마십시오.,,,실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
196600011,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.","성인(만 15세 이상)은 1회 2정씩, 만 11세 이상~만 15세 미만은 1회 1~2정씩, 만 8세 이상~만 11세 미만은 1회 1정씩, 1일 3회 식후에 복용합니다.",,"만 7세 이하의 어린이, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 알레르기 체질, 황색5호 과민증 환자 또는 경험자는 의사 또는 약사와 상의하십시오.

2주 정도 투여하여도 증상의 개선이 없을 경우 이 약의 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.",,,"습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오."
196600012,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.","성인(만 15세 이상)은 1회 2정씩, 만 11세 아상~만 15세 미만은 1회 1~2정씩, 만 8세 이상~만 11세 미만은 1회 1정씩을 1일 3회 식후에 복용합니다.",,"만 7세 이하의 어린이, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 알레르기 체질은 의사 또는 약사와 상의하십시오.

2주 정도 투여하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.",,,"습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오."
196600063,"이 약은 자양강장, 허약체질 보조 및 개선, 피로회복에 사용합니다.","15세 이상 및 성인은 1회 1병, 1일 1~2회 복용합니다.",,"이 약에 과민증 환자는 이 약을 복용하지 마십시오.이 약은 생약엑스 배합 제제이므로 때때로 침전이 생기는 경우가 있지만, 약효는 변함이 없으므로 잘 흔들어 복용하십시오.정해진 용법과 용량을 잘 지키십시오.이 약은 경구용으로만 사용하고 주사용으로는 사용하지 마십시오.요를 황색으로 변하게 하여 임상검사치에 영향을 줄 수 있습니다.",,"구역, 구토, 묽은 변 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.피부, 눈, 점막에 경미한 자극 등이 나타날 수 있습니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
196700061,"이 약은 삠, 타박상, 근육통, 관절통, 골절통, 요(허리)통, 어깨결림, 신경통, 류마티스통증, 피부 가려움, 벌레 물린데, 동창(언 상처)의 진통·소염(항염)에 사용합니다.",1일 1회~수회(여러 차례) 환부(질환 부위)에 적당량을 뿌립니다.,,"30개월 이하의 유아, 눈 주위, 점막 등, 습진, 옻 등에 의한 피부염, 상처부위에는 이 약을 사용하지 마십시오.

이 약을 사용하기 전에 이 약이나 화장품 등에 과민증 환자, 알레르기 체질, 습윤(습기 참)이나 미란(짓무름)이 심한 환자, 의사의 치료를 받고 있는 환자, 소아, 임부 또는 임신하고 있을 가능성이 있는 여성, 수유부는 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.

5~6회 투여하여도 증상이 좋아지지 않을 경우 의사 또는 약사와 상의하십시오.

이 약은 외용으로만 사용하십시오.

눈에 들어가지 않도록 주의하십시오.

사용 전에 잘 흔들어 사용하며 환부(질환부위)로부터 20 cm의 거리에서 뿌리되 동일 부위에 연속하여 3초 이상 뿌리지 않습니다.

화기를 사용하고 있는 실내에서 사용하지 말고 밀폐된 실내에서 사용한 후에는 반드시 환기를 실시하십시오.",,"발진ㆍ발적(충혈되어 붉어짐), 가려움, 부종(부기) 등이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.

화기 근처에 두지 마십시오.

밀폐된 장소에 보관하지 마십시오.

사용 후 잔가스가 없도록 하여 버리십시오."
199604959,이 약은 화상 또는 상처에 사용합니다.,1일 2~3회 상처부위에 얇게 바릅니다.,,안과용으로 사용하지 마십시오.,,"감작증후(소양(가려움), 발적(충혈되어 붉어짐), 종창(부기), 구진, 소수포(물집) 등)가 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",서늘한 곳에 실온에서 보관하십시오.
199803472,"이 약은 건조한 눈, 하드콘택트렌즈 착용시에 사용합니다.",1회 1~2방울 1일 4~5회 점안합니다.증상에 따라 적절히 증감합니다.,,치료 중에는 소프트콘택트렌즈의 착용을 피하십시오.점안용으로만 사용하십시오.오염을 방지하기 위해 될 수 있는 한 공동으로 사용하지 마십시오.,,매우 드물게 과민반응이 나타날 수 있습니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
199806423,이 약은 치질에 사용합니다.,"아침 ∙ 저녁 1회 1개씩, 1일 2회 가능한 한 배변 후 항문내에 삽입합니다.",,이 약에 과민증 환자는 이 약을 사용하지 마십시오.이 약이 무르게 된 경우에는 잠시 냉각시킨 후에 사용하며 또한 지나치게 경화된 경우에는 무르게 한 후 사용하십시오.이 약은 직장(곧창자)에만 사용하고 내복용으로는 사용하지 마십시오.,,"가벼운 정도의 소양감(가려움), 통증, 출혈이 나타날 수 있습니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
196800036,"이 약은 감기의 여러 증상(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화에 사용합니다.","성인 1회 1병(30 mL)씩, 1일 3회 식후 30분에 복용합니다.","매일 세잔 이상 정기적 음주자가 이 약 또는 다른 해열진통제를 복용할 때는 의사 또는 약사와 상의하십시오. 간손상을 일으킬 수 있습니다.

매우 드물게 치명적일 수 있는 급성전신발진고름물집증, 스티븐스-존슨증후군, 독성표피괴사용해와 같은 중대한 피부반응이 보고되었고 이 약 복용 후 피부발진 또는 다른 과민반응의 징후가 나타나는 경우 즉시 복용을 중단하십시오.

아세트아미노펜으로 일일 최대 용량(4,000 mg)을 초과하여 복용하지 마십시오. 간손상을 일으킬 수 있습니다. 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오.","이 약에 과민증 환자 및 경험자, 다른 해열진통제, 감기약 복용 시 천식 경험자, 만 3개월 미만의 영아, MAO억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등)를 복용하고 있거나 복용을 중단한 후 2주 이내의 사람은 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 수두 또는 인플루엔자에 감염되어 있거나 또는 의심되는 영아 및 만 15세 미만의 어린이, 만 2세 미만의 소아, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 고령자, 몸이 약한 사람, 알레르기 체질, 알레르기 증상(발열, 발진, 관절통, 천식, 가려움증 등) 경험자, 간장질환, 신장질환, 심장질환, 갑상선질환, 당뇨병, 고혈압, 위십이지장궤양, 녹내장(눈의 통증, 눈이 침침함 등), 배뇨곤란, 고열, 속쓰림, 위부불쾌감, 위통과 같은 위장문제, 궤양, 출혈문제, 흡연, 천식, 만성 기관지염, 폐기종, 과도한 가래가 동반되는 기침, 1주 이상 지속 또는 재발되는 기침, 만성 기침, 발열·발진이나 지속적인 두통이 동반되는 기침 환자는 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

장기간 계속하여 복용하지 마십시오.

복용 후 졸음이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.

5~6회 복용하여도 증상이 좋아지지 않을 경우 의사 또는 약사와 상의하십시오.","아세트아미노펜을 포함하는 다른 제품, MAO억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등), 진해거담제, 다른 감기약, 해열진통제, 진정제, 항히스타민제를 함유하는 내복약(비염용 경구제, 멀미약, 알레르기용약)과 함께 복용하지 마십시오.

당뇨약, 통풍약, 관절염약, 항응고제, 스테로이드제, 바르비탈계 약물, 삼환계 항우울제, 알코올과 함께 복용 시 의사 또는 약사와 상의하십시오.

복용 중에는 음주하지 마십시오.","발진, 발적, 가려움, 구역, 구토, 식욕부진, 변비, 부종, 배뇨곤란, 목마름(지속적이거나 심한), 어지러움, 쇽 증상(복용 후 바로 두드러기, 부종, 가슴답답함 등과 함께 안색이 창백하고, 손발이 차고, 식은땀, 숨쉬기 곤란함), 피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사용해(고열을 동반하고, 발진·발적, 화상과 같이 물집이 생기는 심한 증상이 전신피부, 입 또는 눈점막에 나타남), 천식, 전신의 나른함, 황달, 간질성폐렴(기침을 동반하고, 숨이 차고, 호흡곤란, 발열) 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오."
